# DURATION     TID     FUNCTION
   0.222 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.068 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.471 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.065 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.248 us [  9146] |       std::basic_ostream::operator<<();
   0.222 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.468 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.241 us [  9146] |       std::basic_ostream::operator<<();
   0.227 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.067 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.466 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.244 us [  9146] |       std::basic_ostream::operator<<();
   0.221 us [  9146] |       std::operator<<();
   0.068 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.474 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.246 us [  9146] |       std::basic_ostream::operator<<();
   0.223 us [  9146] |       std::operator<<();
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.468 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.242 us [  9146] |       std::basic_ostream::operator<<();
   0.228 us [  9146] |       std::operator<<();
   0.068 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.068 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.473 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.065 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.245 us [  9146] |       std::basic_ostream::operator<<();
   0.222 us [  9146] |       std::operator<<();
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
